SN	Frequency	Word
1035	107	स्वतन्त्र
1036	107	सूरज
1037	107	विशेषता
1038	107	लिख
1039	107	मास
1040	107	पंचायत
1041	107	चरण
1042	107	गली
1043	107	खुले
1044	107	कुर्सी
1045	106	सन्दर्भ
1046	106	वर्गीकरण
1047	106	फैल
1048	106	पेश
1049	106	प्रौद्योगिकी
1050	106	पुराण
1051	106	निर्धारण
1052	106	चीन
1053	105	शिकायत
1054	105	विद्यालय
1055	105	बहन
1056	105	पक्षी
1057	105	निर्यात
1058	105	जाये
1059	105	चक्कर
1060	105	गोली
1061	105	कल्याण
1062	105	क्रोध
1063	105	कराया
1064	105	इंका
1065	104	सीधा
1066	104	संचार
1067	104	विद्वानों
1068	104	भुगतान
1069	104	तुझे
1070	104	चयन
1071	104	घोड़े
1072	104	उच्चारण
1073	103	सोने
1074	103	मौका
1075	103	मोटे
1076	103	भाषण
1077	103	निकला
1078	103	देवताओं
1079	103	उत्पत्ति
1080	102	शहरी
1081	102	शक्ति
1082	102	राष्ट्रपति
1083	102	महाराज
1084	102	अपेक्षित
1085	102	अजीब
1086	101	संस्कार
1087	101	समाधान
1088	101	शूल
1089	101	लिखे
1090	101	रहेगा
1091	101	रमेश
1092	101	जड़
1093	101	अधिगम
1094	100	सर्वाधिक
1095	100	मानता
1096	100	बाढ़
1097	100	बजट
1098	100	नुकसान
1099	100	थोड़े
1100	100	जाल
1101	100	जानने
1102	100	कम्पनी
1103	100	कक्ष
1104	100	उपकरणों
1105	100	उठकर
1106	100	इसको
1107	99	साम्राज्य
1108	99	संशोधन
1109	99	राजाओं
1110	99	पसन्द
1111	99	छात्रों
1112	99	गहरा
1113	99	किलोग्राम
1114	99	कालेज
1115	99	उल्लेखनीय
1116	99	उपलब्धि
1117	99	उत्साह
1118	98	मजदूर
1119	98	प्रार्थना
1120	98	छिड़काव
1121	97	समुदाय
1122	97	शोथ
1123	97	लोरिक
1124	97	बौद्ध
1125	97	बाग
1126	97	बचा
1127	97	प्रोत्साहन
1128	97	प्रबल
1129	97	पदार्थों
1130	97	जगत
1131	97	घोल
1132	97	एकता
1133	96	सोचने
1134	96	स्वतंत्रता
1135	96	वित्तीय
1136	96	मानकर
1137	96	भौतिक
1138	96	पाठ्यक्रम
1139	96	पर्वत
1140	96	तलाश
1141	96	गोद
1142	96	का
1143	95	शेर
1144	95	वस्त्र
1145	95	रूक
1146	95	मुक्ति
1147	95	प्रोटीन
1148	95	चलकर
1149	95	गंभीर
1150	95	अंकन
1151	94	हिंदी
1152	94	शान्त
1153	94	शांति
1154	94	वर्गों
1155	94	वृक्षों
1156	94	रोगों
1157	94	प्रथा
1158	94	चीजों
1159	93	सकती
1160	93	महिलाओं
1161	93	बाह्य
1162	93	दिखाया
1163	93	डालने
1164	92	सम्पत्ति
1165	92	श्रद्धा
1166	92	वार्ता
1167	92	लड़कों
1168	92	मानने
1169	92	मुझ
1170	92	नमक
1171	92	छवि
1172	92	चाचा
1173	92	चलो
1174	92	करेगा
1175	91	हिमाचल
1176	91	स्मिता
1177	91	स्थल
1178	91	रखती
1179	91	रकम
1180	91	पहुंचने
1181	91	नाना
1182	91	दरवाजा
1183	91	दुकान
1184	91	ठोस
1185	91	जेब
1186	91	चिन्तन
1187	91	गर्मी
1188	91	खरीद
1189	91	क्रांति
1190	91	ऋतु
1191	90	सुनाई
1192	90	विद्यालयों
1193	90	लिखने
1194	90	लखनऊ
1195	90	राग
1196	90	बरस
1197	90	डाली
1198	90	गृह
1199	90	अकाली
1200	89	सावधानी
1201	89	सेवन
1202	89	शून्य
1203	89	विद्यार्थियों
1204	89	मोटी
1205	89	भ्रष्टाचार
1206	89	देह
1207	89	कार्रवाई
1208	89	कार्यवाही
1209	89	इस्लाम
1210	89	आश्रम
1211	89	आकर्षण
1212	88	हिस्से
1213	88	सम्राट
1214	88	परेशान
1215	88	परम्परागत
1216	88	दिसम्बर
1217	88	जनसंख्या
1218	88	घोषित
1219	88	ऋषि
1220	88	अखबार
1221	87	भस्म
1222	87	बगल
1223	87	परिस्थिति
1224	87	निगम
1225	87	नारायण
1226	87	तुरंत
1227	87	ढोला
1228	87	डालकर
1229	87	चावल
1230	87	कार्यक्रमों
1231	87	उठी
1232	87	ईश्वर
1233	87	आतंकवादी
1234	87	आँख
1235	87	अदालत
1236	86	होटल
1237	86	हार
1238	86	हजारों
1239	86	संदेह
1240	86	संक्षिप्त
1241	86	विद्वान
1242	86	व्रत
1243	86	महत्व
1244	86	भयंकर
1245	86	बेहतर
1246	86	ब्रिटिश
1247	86	प्रिय
1248	86	गम्भीर
1249	86	उक्त
1250	86	अमल
1251	85	हवाई
1252	85	हरे
1253	85	स्वर्णमंदिर
1254	85	ली
1255	85	मामला
1256	85	मछली
1257	85	बचपन
1258	85	बैंकों
1259	85	पान
1260	85	प्राण
1261	85	प्रतिक्रिया
1262	85	जीवाणु
1263	85	छाती
1264	85	खुला
1265	85	कार
1266	85	क्रियाओं
1267	85	अम्मा
1268	85	अंगों
1269	84	सन्देह
1270	84	विवाद
1271	84	लड़कियों
1272	84	बारी
1273	84	प्लेग
1274	84	पुरुष
1275	84	दोपहर
1276	84	आचरण
1277	84	अनाज
1278	83	ही
1279	83	सिरे
1280	83	संयोग
1281	83	विमर्श
1282	83	विधियों
1283	83	वचन
1284	83	रात्रि
1285	83	भावों
1286	83	भेंट
1287	83	बुआई
1288	83	पैरों
1289	83	पुराना
1290	83	प्रतीक्षा
1291	83	पत्रों
1292	83	पड़ेगा
1293	83	जाओ
1294	83	किस्मों
1295	83	किन
1296	83	उठे
1297	83	आचार्य
1298	83	आई
1299	83	अतीत
1300	82	हल्के
1301	82	सागर
1302	82	शाह
1303	82	शान्ति
1304	82	वजन
1305	82	लाखों
1306	82	प्रारंभ
1307	82	प्राणियों
1308	82	निर्देश
1309	82	दावा
1310	82	दे
1311	82	चाहा
1312	82	उदास
1313	82	उत्तरी
1314	82	असली
1315	81	हिम्मत
1316	81	हरी
1317	81	स्नेह
1318	81	शासक
1319	81	बदले
1320	81	बचाने
1321	81	प्रतिनिधि
1322	81	देखभाल
1323	81	तने
1324	81	जानती
1325	81	केंद्र
1326	81	औषधि
1327	81	उत्सव
1328	81	इनसे
1329	80	साथियों
1330	80	संसाधन
1331	80	सदन
1332	80	सूखे
1333	80	संकल्प
1334	80	शक्तिशाली
1335	80	मिश्रण
1336	80	बोरोन
1337	80	निकालने
1338	80	घूम
1339	80	गुस्सा
1340	80	क्षति
1341	80	उठती
1342	80	अरब
1343	80	अत्यंत
1344	80	अक्षर
1345	79	संस्थानों
1346	79	संगठनों
1347	79	विशेषकर
1348	79	वेद
1349	79	बोझ
1350	79	बादल
1351	79	बयान
1352	79	पत्तियां
1353	79	चढ़
1354	79	उम्मीद
1355	79	उपेक्षा
1356	78	सिद्धान्तों
1357	78	स्व
1358	78	सुनते
1359	78	सकते
1360	78	रबड़
1361	78	मेल
1362	78	मेकअप
1363	78	भूत
1364	78	बनते
1365	78	प्रशंसा
1366	78	प्रतिदिन
1367	78	पूछ
1368	78	दबाव
1369	78	दण्ड
1370	78	टुकड़े
1371	78	गहराई
1372	78	खींच
1373	78	उर्वरक
1374	77	हिंसा
1375	77	साधना
1376	77	सेवाओं
1377	77	लेखन
1378	77	परेशानी
1379	77	प्रताप
1380	77	पेड़ों
1381	77	चेष्टा
1382	76	व्याकरण
1383	76	लाइसेंस
1384	76	ललित
1385	76	मील
1386	76	बर्फ
1387	76	पाप
1388	76	पुत्री
1389	76	दफ्तर
1390	76	जानवर
1391	76	गाने
1392	76	कार्यकर्ता
1393	76	कलाकारों
1394	76	करता
1395	76	उत्पाद
1396	76	आएँ
1397	75	सोचते
1398	75	सीख
1399	75	सास
1400	75	वीणा
1401	75	यूरेनियम
1402	75	मौलिक
1403	75	मारने
1404	75	मुहम्मद
1405	75	बिल
1406	75	बचत
1407	75	प्रावधान
1408	75	पचास
1409	75	नागरिक
1410	75	देन
1411	75	गिरने
1412	75	गहरे
1413	75	उपन्यास
1414	75	इलाके
1415	75	आन्तरिक
1416	74	संसद
1417	74	स्वीकृति
